Name,ARC-Challenge,BigBench QA Wikidata,HellaSwag,PIQA,Winogrande,ARC-Easy,BoolQ,Openbook QA,Winograd,LAMBADA (OpenAI),Bigbench Strategy QA,COPA,MMLU
7B Centralized,0.2909556329250335,0.5108016133308411,0.6092411875724792,0.7578890323638916,0.5445935130119324,0.5530303120613098,0.5785932540893555,0.3639999926090241,0.7472527623176575,0.5243547558784485,0.483180433511734,0.6800000071525574,0.25371253384011133
760M Centralized,0.2534129619598388,0.0,0.2481577396392822,0.4853101074695587,0.4956590235233307,0.256313145160675,0.5761467814445496,0.257999986410141,0.4981684982776642,0.0,0.4748798608779907,0.5799999833106995,0.2540098519197532
7B Federated,0.2653583586215973,0.4470744431018829,0.5239992141723633,0.7290533185005188,0.5224940776824951,0.5084174871444702,0.5302752256393433,0.3580000102519989,0.6813187003135681,0.4570153355598449,0.4661424160003662,0.7099999785423279,0.26311794987746645
3B Federated,0.2474402785301208,0.3597756028175354,0.4553873836994171,0.7051142454147339,0.5122336149215698,0.4608585834503174,0.5911315083503723,0.3160000145435333,0.6556776762008667,0.3809431493282318,0.4639580547809601,0.6200000047683716,0.2515762858092785
1B Federated (short),0.243174061179161,0.2154421508312225,0.3492332100868225,0.6757345199584961,0.5161799788475037,0.3897306323051452,0.6116207838058472,0.2739999890327453,0.6043956279754639,0.2976906597614288,0.4700742661952973,0.6299999952316284,0.24819502899689333
1B Federated (long),0.2295221835374832,0.2697701752185821,0.3911571502685547,0.6871599555015564,0.5335438251495361,0.4065656661987304,0.545259952545166,0.2899999916553497,0.6153846383094788,0.3333980143070221,0.4897335171699524,0.6299999952316284,0.2461318810071264
1B Centralized,0.260238915681839,0.0,0.243477389216423,0.516866147518158,0.5280189514160156,0.2352693676948547,0.4822629988193512,0.2639999985694885,0.5164835453033447,0.0,0.5277413725852966,0.4600000083446502,0.23939359773482596
